Longitude,Latitude,Elevation Meters
4.2713,51.934254,-1
4.27104,51.934062,-1
4.270935,51.934002,-1
4.270651,51.933841,-1
4.27056,51.933775,-1
4.270409,51.933644,-1
4.270275,51.933535,-1
4.269943,51.933265,-1
4.269846,51.93311,-1
4.269524,51.93265,-1
4.26948,51.932532,-1
4.269477,51.932416,-1
4.269623,51.932147,-1
4.269927,51.931631,-1
4.270211,51.931403,-1
4.270172,51.931312,-1
4.270199,51.931182,-1
4.270288,51.931017,-1
4.270366,51.930881,-1
4.270393,51.930803,-1
4.270387,51.930712,-1
4.270237,51.93061,-1
4.270143,51.930573,-1
4.270124,51.930489,-1
4.270146,51.93042,-1
4.270362,51.929975,-1
4.270591,51.929665,-1
4.2709,51.9295,-1
4.271002,51.928888,-1
4.271017,51.928799,-1
4.271231,51.928334,-1
4.271347,51.928072,-1
4.271379,51.927963,-1
4.271362,51.927832,-1
4.271357,51.927711,-1
4.271462,51.927533,1
4.271302,51.927496,1
4.271214,51.927484,2
4.271131,51.92748,2
4.270971,51.927489,2
4.271035,51.92744,2
4.271214,51.927215,2
4.271254,51.927154,1
4.271432,51.926881,1
4.271589,51.926644,1
4.271467,51.92661,1
4.271408,51.926638,1
4.270663,51.92641,1
4.270454,51.926337,1
4.270011,51.92619,-1
4.269673,51.926089,-1
4.269454,51.926037,-1
4.269139,51.925966,-1
4.268944,51.925915,-1
4.268758,51.925851,-1
4.26833,51.925727,-1
4.268076,51.925677,-1
4.267512,51.925524,-1
4.266708,51.925284,-1
4.266478,51.925198,-1
4.266206,51.925123,-1
4.265491,51.924923,-1
4.26432,51.924577,-1
4.264158,51.924521,-1
4.264473,51.924179,-1
4.264548,51.924097,-1
4.263828,51.923825,-1
4.263586,51.92373,-1
4.263395,51.923672,-1
4.26323,51.923658,-1
4.262827,51.924127,-1
4.262083,51.923894,-1
4.261416,51.92368,-1
4.260763,51.923494,-1
4.260529,51.923431,-1
4.260374,51.923398,-1
4.259997,51.923339,-1
4.259274,51.923138,-1
4.258644,51.922955,-1
4.258404,51.922886,-1
4.25825,51.92284,-1
4.258015,51.922768,-1
4.257845,51.922674,-1
4.257579,51.922594,-1
4.257422,51.922549,1
4.257394,51.922592,1
4.25731,51.922705,1
4.257212,51.922689,1
4.257132,51.922659,1
4.256753,51.92314,1
4.25581,51.922897,1
4.254847,51.92263,1
4.254365,51.922492,1
4.254111,51.92241,1
4.253774,51.922323,1
4.252986,51.922118,2
4.252794,51.922069,3
4.253126,51.921772,3
4.253349,51.921598,4
4.253416,51.921556,3
4.253416,51.921488,3
4.253319,51.921445,3
4.25318,51.921356,2
4.252932,51.921203,2
4.252608,51.920999,2
4.252545,51.920955,2
4.252381,51.920849,2
4.252218,51.920718,2
4.251908,51.920466,2
4.251129,51.919814,2
4.250528,51.919311,1
4.250347,51.919147,2
4.250151,51.918978,2
4.249798,51.918665,3
4.249908,51.918652,3
4.249912,51.918582,3
4.249867,51.918546,3
4.24983,51.918473,4
4.249748,51.91829,4
4.249719,51.918249,4
4.249653,51.91819,4
4.249482,51.918037,3
4.249409,51.917962,4
4.249284,51.917876,4
4.24913,51.917655,4
4.249104,51.917561,5
4.249053,51.917523,5
4.248973,51.917451,4
4.248764,51.91743,3
4.248646,51.917351,3
4.247972,51.916714,3
4.247074,51.915902,2
4.247027,51.91586,2
4.247088,51.91583,3
4.247168,51.915798,3
4.247272,51.915754,3
4.247913,51.915481,3
4.248098,51.915418,3
4.248051,51.915346,2
4.248156,51.915314,2
4.248241,51.915285,3
4.248381,51.9152,3
4.248609,51.915122,3
4.24865,51.91502,3
4.248814,51.91502,3
4.248912,51.915043,3
4.248999,51.915058,3
4.249082,51.915059,3
4.249176,51.915047,3
4.24935,51.915029,3
4.249454,51.914995,3
4.249601,51.914977,3
4.249714,51.914932,3
4.249788,51.914937,3
4.249779,51.914891,3
4.249816,51.914849,3
4.249821,51.914796,2
4.249828,51.914706,2
4.249823,51.914643,2
4.2497,51.914498,1
4.249471,51.914566,2
4.249344,51.914603,2
4.24878,51.913728,1
4.247945,51.912566,1
4.247265,51.911827,1
4.246325,51.911436,1
4.244643,51.911386,1
4.243115,51.911442,2
4.242594,51.911488,3
4.242449,51.911127,3
4.242281,51.910776,5
4.242216,51.910599,7
4.242136,51.910614,6
4.241848,51.910614,7
4.241623,51.910619,7
4.241405,51.910651,7
4.240819,51.910774,7
4.240213,51.911076,7
4.239789,51.911291,7
4.239269,51.911486,7
4.238657,51.911665,7
4.238212,51.911791,8
4.237649,51.911983,7
4.237241,51.912158,7
4.236758,51.91241,7
4.236345,51.912678,7
4.23616,51.912814,7
4.236103,51.912766,7
4.235986,51.912669,7
4.23596,51.912595,7
4.235869,51.912528,7
4.235779,51.912466,7
4.23551,51.91252,7
4.234994,51.912619,4
4.23485,51.912665,4
4.234571,51.912779,4
4.234111,51.913051,5
4.233732,51.913306,5
4.233576,51.913377,5
4.233139,51.913528,4
4.232843,51.913729,5
4.232693,51.913837,5
4.232566,51.913902,5
4.232332,51.913971,4
4.232107,51.914167,5
4.231889,51.91433,5
4.231508,51.91447,4
4.231344,51.914358,3
4.2312,51.914269,3
4.231134,51.914248,3
4.23104,51.914248,2
4.230928,51.914269,2
4.230846,51.914255,2
4.2303,51.9139,1
